Company,Type,Series,URL,B2B vs B2C,Location
Datapalooza,4800a,INV482,,,
HENSOLDT Analytics,501c,INV593,,,
Housefolk,501c,INV447,,,
Koodipöllö,501c,INV587,,,
Shapemaker,4800a,INV538,,,
Faved,501c,INV532,,,
Connecting Humans,4800a,INV505,,,
FuzeQube Group,501c,INV418,,,
CERPRO GmbH,4800a,INV559,,,
Dermae,4800a,INV459,,,
dema.ai,325d,INV453,,,
Lazazu,4800a,INV415,,,
BeyondMath,4800a,INV426,,,
kalm*,501c,INV517,,,
Ednia,501c,INV556,,,
Exponential View,4800a,INV484,,,
MediTechLabs,325d,INV599,,,
ToutatiX,501c,INV542,,,
Ideen-Butze©,4800a,INV560,,,
Entrepreneur First,4800a,INV434,,,
Maria Chietera: Mindfulness & Coaching,4800a,INV502,,,
Projet de jeu,501c,INV522,,,
SLASHPLAY,4800a,INV404,,,
FairCare GmbH,325d,INV548,,,
Norlab.ai,325d,INV543,,,
Residenture,501c,INV558,,,
University of Leicester,325d,INV439,,,
Skein,4800a,INV429,,,
Grecos,501c,INV408,,,
Vouch,4800a,INV474,,,
Wavyr,325d,INV571,,,
Briif,325d,INV426,,,
Neostratup,501c,INV497,,,
Market Shriek,325d,INV508,,,
University of South-Eastern Norway,325d,INV524,,,
Hargrave Succession Partners,501c,INV474,,,
APPARO,501c,INV534,,,
EV inFocus,325d,INV516,,,
Motomic,501c,INV491,,,
Barclays UK,501c,INV448,,,
Pistachio,501c,INV467,,,
Stackly,325d,INV459,,,
Founders Bay,501c,INV409,,,
LAURE FRIÈS ARCHITECTURE,4800a,INV481,,,
The Sutton Trust,325d,INV509,,,
TXS Digital,4800a,INV553,,,
JAKALA,501c,INV441,,,
Feast ,4800a,INV546,,,
Bonx,501c,INV515,,,
Kyros agency,325d,INV470,,,
House of Emirates,501c,INV501,,,
engraph,325d,INV460,,,
Coaching Ultra,325d,INV439,,,
Datapay,4800a,INV437,,,
Stratosphere,325d,INV402,,,
My Intelligent Health Ltd,4800a,INV563,,,
Norma BI,501c,INV550,,,
Pave,325d,INV425,,,
INDU.cloud,325d,INV498,,,
Cloudilic,325d,INV512,,,
Glasgow Caledonian University,325d,INV493,,,
TiM - Talent in Motion,4800a,INV521,,,
Swipet,4800a,INV547,,,
Oqula,325d,INV530,,,
Halter Group B.V.,4800a,INV543,,,
