Company,Type,Series,URL,B2B vs B2C,Location
Alfeor,501c,INV534,,,
PERmute,325d,INV531,,,
MediRapp AG,4800a,INV551,,,
Maavee,4800a,INV590,,,
Fair&Smart,325d,INV489,,,
spektr (still in stealth),501c,INV591,,,
RemedyBytes,501c,INV524,,,
Google,4800a,INV507,,,
NewCo Corporate Finance,325d,INV568,,,
Tailwarden,4800a,INV556,,,
HubScape,4800a,INV492,,,
R4 Search,501c,INV496,,,
Granyt,501c,INV552,,,
L'Oréal,4800a,INV440,,,
Business Bodhi,4800a,INV492,,,
Caerus Accountancy Recruitment,501c,INV411,,,
NCC Group,325d,INV429,,,
Based in,501c,INV516,,,
DCO2,501c,INV552,,,
Ida,325d,INV400,,,
Honest Food Talks,4800a,INV506,,,
Rentopia,501c,INV498,,,
Avolta Partners,4800a,INV558,,,
Angelize,501c,INV596,,,
Founders Running Club,4800a,INV484,,,
On The Mend,501c,INV587,,,
Verdn (YC W22),325d,INV475,,,
Bright Star Studios,325d,INV576,,,
Heartpace,4800a,INV463,,,
Entrepreneur First,325d,INV406,,,
Trezo,501c,INV460,,,
Capgemini Engineering,325d,INV400,,,
Superagent,4800a,INV580,,,
Entrepreneur First,501c,INV596,,,
Oda,4800a,INV584,,,
EVRYONE GROUP,501c,INV520,,,
Hermaid,325d,INV512,,,
PXL AS,4800a,INV432,,,
HypeData,501c,INV442,,,
61N,501c,INV509,,,
Anker,501c,INV508,,,
Orange Cyberdefense,4800a,INV442,,,
Juoksut,325d,INV492,,,
Roel Conseil,4800a,INV545,,,
Locaria,325d,INV429,,,
Segenious Finance,501c,INV419,,,
Beautiful Places AI,325d,INV408,,,
Klark,4800a,INV522,,,
Tango,4800a,INV469,,,
Monsevo,4800a,INV560,,,
Letio,4800a,INV473,,,
MENGEL,501c,INV500,,,
Capgemini,4800a,INV423,,,
Bloomberg LP,325d,INV432,,,
Entrepreneur First,325d,INV530,,,
Taivasalla,4800a,INV580,,,
Cerco AS,501c,INV558,,,
Bright Blu Dot,501c,INV547,,,
Cambridge Artificial Intelligence Studios,501c,INV595,,,
Your Sustainable Friend,325d,INV448,,,
B. CAPITOL PARTNERS,501c,INV441,,,
Manerty,4800a,INV466,,,
Reshot AI,325d,INV414,,,
Electryone AI,325d,INV461,,,
Composo.ai,501c,INV464,,,
Greenscope,4800a,INV586,,,
NHS,501c,INV456,,,
Allectus,501c,INV535,,,
Intergrid,501c,INV424,,,
Katalyz,4800a,INV424,,,
CMi2i,4800a,INV432,,,
Ceviant Finance ,501c,INV554,,,
NS2L & ASSOCIES,325d,INV585,,,
Dr.Dropin,501c,INV538,,,
Aurezzi,325d,INV526,,,
Appera AS,4800a,INV487,,,
Riverse,325d,INV504,,,
Invicta Pharma Investments,4800a,INV546,,,
TapeNology,325d,INV519,,,
beautyfood,4800a,INV430,,,
Avoyes,501c,INV485,,,
Qurrent,501c,INV578,,,
Viatera,325d,INV438,,,
Aara,501c,INV498,,,
Juvetti,4800a,INV449,,,
CSKeisari,325d,INV418,,,
AutoUncle,325d,INV407,,,
Skill & Reach,4800a,INV571,,,
Akacia,325d,INV565,,,
