Company,Type,Series,URL,B2B vs B2C,Location
Infinity,501c,INV536,,,
Mirador Insight,4800a,INV546,,,
CyberWomen Groups C.I.C.,325d,INV562,,,
Akeo Capital Management,4800a,INV508,,,
Xquire,501c,INV420,,,
Apples,4800a,INV482,,,
Flatpay,4800a,INV510,,,
Contorion,325d,INV446,,,
Visit Group,501c,INV520,,,
RIB Software,325d,INV469,,,
AIDETIC,325d,INV463,,,
Nasutech,501c,INV475,,,
Mile End Institute,501c,INV482,,,
Glede,4800a,INV461,,,
Quarterback,4800a,INV596,,,
Chloé Blanc Consulting,325d,INV525,,,
Salssy,501c,INV579,,,
Gousto,325d,INV452,,,
Borrowed Soul Studio,4800a,INV561,,,
THE SQUAD,325d,INV440,,,
Heraklio,501c,INV486,,,
Exercio,501c,INV502,,,
Mint Consulting Services,325d,INV533,,,
Frameworks AS,4800a,INV491,,,
ANYHOW,4800a,INV555,,,
Sensible,501c,INV556,,,
Gritera,325d,INV531,,,
Get Influence - Viral TikTok UGC,501c,INV405,,,
About Tomorrow,4800a,INV598,,,
Immocompare,4800a,INV594,,,
PRONOE,325d,INV481,,,
The Spark,501c,INV469,,,
Dynemia,501c,INV440,,,
Smart Bees,4800a,INV526,,,
MAIKERS INSTITUTE,501c,INV483,,,
Qriptal,325d,INV459,,,
LADAPT,325d,INV479,,,
EU4UA.org,4800a,INV580,,,
Buildtivity,4800a,INV536,,,
Kobble,501c,INV565,,,
Huscle,325d,INV527,,,
DeQuantifi,4800a,INV503,,,
Exercio,501c,INV562,,,
OÜA,4800a,INV579,,,
Stealth Startup,4800a,INV435,,,
Kintsukuroi Wellbeing,501c,INV486,,,
